Id,Company,Product,TypeName,Price_euros
60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,415
61,Dell,Inspiron 5770,Notebook,1299
62,Dell,Vostro 5471,Ultrabook,879
63,Lenovo,IdeaPad 520S-14IKB,Notebook,599
64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,941
66,HP,250 G6,Notebook,690
67,Asus,ZenBook Pro,Ultrabook,1983
68,HP,250 G6,Notebook,438.69
69,HP,Stream 14-AX040wm,Notebook,229
70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,549
71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,949
72,Microsoft,Surface Laptop,Ultrabook,1089
73,Dell,Inspiron 5370,Ultrabook,955
74,Dell,Inspiron 5570,Notebook,870
75,MSI,GL72M 7RDX,Gaming,1095
76,Acer,Aspire E5-475,Notebook,389
77,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,949
78,Lenovo,IdeaPad 320-15IKBN,Notebook,519
79,Dell,Inspiron 5570,Notebook,855
80,Acer,Aspire A515-51G-32MX,Notebook,530